index,overall,Date,Year,reviewText,title,brand,Cleaned Reviews,Vader Sentiment,Vader Analysis,Happy,Angry,Surprise,Sad,Fear,emotion
20,1.0,2014-03-15,2014,Do not buy these. They are for Mary Kay consultants to GIVE away. They are a tax write off as well as .50 each. Go somewhere and buy a full size bottle for $10. Trust me.,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,Do not buy these They are for Mary Kay consultants to GIVE away They are a tax write off as well as each Go somewhere and buy a full size bottle for Trust me ,0.6597,Positive,0.0,0.33,0.0,0.0,0.67,Fear
21,5.0,2014-01-02,2014,I buy these at Christmas time for the girl's stockings but keep a few for myself for traveling.  Love the lotion!,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,I buy these at Christmas time for the girl s stockings but keep a few for myself for traveling Love the lotion ,0.7959,Positive,0.33,0.0,0.33,0.0,0.33,Happy
22,5.0,2013-09-21,2013,"I got this item as a gift loved it !!! To bad it's not avail in stores. Bought as much as I could find online. Anybody who loves scented lotion,I believe would love this!",Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,I got this item as a gift loved it To bad it s not avail in stores Bought as much as I could find online Anybody who loves scented lotion I believe would love this ,0.9241,Positive,0.75,0.0,0.0,0.0,0.25,Happy
23,5.0,2013-09-09,2013,"This a a wonderful product and it works out well for me to carry these sizes in my purse. Also, this product is great for your hands.",Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,This a a wonderful product and it works out well for me to carry these sizes in my purse Also this product is great for your hands ,0.872,Positive,0.33,0.0,0.33,0.0,0.33,Happy
24,3.0,2013-09-04,2013,"Not taking anything away from Mary Kay products which I have been using for over 30 years,I just didn't read the entire description to realize the hand lotion was peach scented.  The scent didn't agree with my allergies.  So I gave them to friends.",Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,Not taking anything away from Mary Kay products which I have been using for over years I just didn t read the entire description to realize the hand lotion was peach scented The scent didn t agree with my allergies So I gave them to friends ,0.6358,Positive,0.2,0.2,0.2,0.0,0.4,Fear
25,5.0,2013-08-04,2013,"Thanks so much for the speedy postage. =)
Mary Kay is a fabulous brand, and the packaging in small portions meant I was able to donate for a charitable cosmetics bag.",Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,Thanks so much for the speedy postage Mary Kay is a fabulous brand and the packaging in small portions meant I was able to donate for a charitable cosmetics bag ,0.9042,Positive,0.5,0.0,0.0,0.5,0.0,Happy
26,5.0,2013-07-06,2013,"It's very convenient to use and easy to take with. I use the Mary kay cosmetics has been for 6 years, I am a loyal consumers. This is the first time after I come to the United States to buy on the net, I am very happy with them.",Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,It s very convenient to use and easy to take with I use the Mary kay cosmetics has been for years I am a loyal consumers This is the first time after I come to the United States to buy on the net I am very happy with them ,0.9152,Positive,0.5,0.0,0.0,0.25,0.25,Happy
27,5.0,2013-06-10,2013,"Great these as lil gifts for a Tea party, have had it as of yet, I'm sure the ladies will love it",Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,Great these as lil gifts for a Tea party have had it as of yet I m sure the ladies will love it,0.9231,Positive,1.0,0.0,0.0,0.0,0.0,Happy
28,5.0,2013-02-26,2013,I have always loved Satin Hands.  It feels so good on my skin.  I can tell the difference immediatel after applying it to my hands.,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,I have always loved Satin Hands It feels so good on my skin I can tell the difference immediatel after applying it to my hands ,0.8244,Positive,1.0,0.0,0.0,0.0,0.0,Happy
29,3.0,2015-10-20,2015,This was purchased as a holiday gift.,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,This was purchased as a holiday gift ,0.6808,Positive,0.0,0.0,0.0,0.0,1.0,Fear
30,1.0,2015-07-21,2015,I KNOW THAT THIS PRODUCT IS GREAT FOR BEFORE EXPERIENCE BUT I NEVER RECEIVED THOSE.,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,I KNOW THAT THIS PRODUCT IS GREAT FOR BEFORE EXPERIENCE BUT I NEVER RECEIVED THOSE ,0.3716,Neutral,0.5,0.0,0.5,0.0,0.0,Happy
32,4.0,2014-09-10,2014,"Loved the lotion, non greasy and absorbs nicely.",Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,Loved the lotion non greasy and absorbs nicely ,0.7783,Positive,0.5,0.0,0.5,0.0,0.0,Happy
33,5.0,2014-09-04,2014,I passed these out as thank you gifts. They all love it. It has such a fresh smell.,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,I passed these out as thank you gifts They all love it It has such a fresh smell ,0.8402,Positive,0.5,0.0,0.0,0.0,0.5,Happy
35,2.0,2014-05-31,2014,"I bought this because Steve Harvey raved about the lotion.  I've bought dollar store lotion that works better!  Waste of $11.  If you have dry skin, this isn't for you.  I wish I had bought coconut oil or cocoa butter.  Very disappointed.",Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,I bought this because Steve Harvey raved about the lotion I ve bought dollar store lotion that works better Waste of If you have dry skin this isn t for you I wish I had bought coconut oil or cocoa butter Very disappointed ,-0.7044,Negative,0.0,0.0,0.0,0.67,0.33,Sad
36,4.0,2014-05-08,2014,Makes hands soft and subtle. Fragrance free for it would work for either male or female. Great for stocking stuffers,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,Makes hands soft and subtle Fragrance free for it would work for either male or female Great for stocking stuffers,0.8126,Positive,0.33,0.0,0.0,0.17,0.5,Fear
37,5.0,2014-04-04,2014,Great condition and smells wonderful!! Very pleased with my buy!! I'll be using these as gifts for my Mary Kay customers :),Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,Great condition and smells wonderful Very pleased with my buy I ll be using these as gifts for my Mary Kay customers ,0.9447,Positive,0.25,0.0,0.25,0.25,0.25,Happy
38,5.0,2015-03-09,2015,it is still to this day my favorite glad you had it,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,it is still to this day my favorite glad you had it,0.7184,Positive,1.0,0.0,0.0,0.0,0.0,Happy
39,5.0,2015-03-02,2015,"Love the way this perfume smells.  Such a soft, sexy scent.",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,Love the way this perfume smells Such a soft sexy scent ,0.8225,Positive,0.5,0.0,0.0,0.0,0.5,Happy
40,5.0,2015-02-19,2015,love this perfume!  I get so many compliments on it!,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,love this perfume I get so many compliments on it ,0.83,Positive,1.0,0.0,0.0,0.0,0.0,Happy
41,5.0,2015-01-14,2015,"This is a well done scent its slightly sweet, spicy and warm. This is definitely unisex a lot of masculine notes. I would absolutely recommend this perfume to girls and guys, but definitely unisex.",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,This is a well done scent its slightly sweet spicy and warm This is definitely unisex a lot of masculine notes I would absolutely recommend this perfume to girls and guys but definitely unisex ,0.8462,Positive,0.0,0.0,0.17,0.17,0.67,Fear
42,5.0,2013-01-13,2013,The package was a complete satisfaction to my wife. Smell is great and not too strong. I would recommend it to everyone.,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,The package was a complete satisfaction to my wife Smell is great and not too strong I would recommend it to everyone ,0.7781,Positive,0.75,0.0,0.0,0.0,0.25,Happy
43,5.0,2012-09-11,2012,I llove heartbraker. I started out with just the perfurm and then got everything eles. I love how it smells and the price is amazig:).,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,I llove heartbraker I started out with just the perfurm and then got everything eles I love how it smells and the price is amazig ,0.6369,Positive,0.5,0.0,0.0,0.0,0.5,Happy
44,5.0,2012-04-13,2012,"I was first introduced to this scent when a friend bought it and I fell in love.  I just ordered mine (although I found it for half price on ebay) and I've been wearing it ever since.  This is a very spicy, and warm scent.  When I wear it I feel sexy and I know I smell that way too. Everyone has commented on how great it smells and my boyfriend really likes it.  I also love the bottle, It's so beautiful to look at and comes with a removeable charm with Jenna's signature on the back.  The charm is very heavy so I took it off and am using it as a key chain, which to me is a plus.  I definately recommend this product to anyone looking for a very spicy and sexy scent.",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,I was first introduced to this scent when a friend bought it and I fell in love I just ordered mine although I found it for half price on ebay and I ve been wearing it ever since This is a very spicy and warm scent When I wear it I feel sexy and I know I smell that way too Everyone has commented on how great it smells and my boyfriend really likes it I also love the bottle It s so beautiful to look at and comes with a removeable charm with Jenna s signature on the back The charm is very heavy so I took it off and am using it as a key chain which to me is a plus I definately recommend this product to anyone looking for a very spicy and sexy scent ,0.991,Positive,0.5,0.07,0.07,0.14,0.21,Happy
45,2.0,2017-01-09,2017,I love Jenna ! But this just out right sucks ! It smell just like old baby powder  But I am still going to keep it because it is by Jenna,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,I love Jenna But this just out right sucks It smell just like old baby powder But I am still going to keep it because it is by Jenna,0.4912,Neutral,0.5,0.0,0.0,0.0,0.5,Happy
46,4.0,2016-12-19,2016,Love this scent. The heart charm looks a little cheap. Great scent to wear in the evening.,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,Love this scent The heart charm looks a little cheap Great scent to wear in the evening ,0.8939,Positive,0.75,0.0,0.0,0.25,0.0,Happy
47,5.0,2016-12-15,2016,"best stuff i ever bought
cant be bought in regular stores, porn star designed this purfume, its awesome",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,best stuff i ever bought cant be bought in regular stores porn star designed this purfume its awesome,0.8519,Positive,0.0,0.25,0.75,0.0,0.0,Surprise
49,3.0,2016-11-14,2016,My current boyfriend said this perfume smell great! I said does it turn you on? He said yes. So being the good girlfriend I am I bought it. It doesn't turn heads or get compliments. The scent doesn't last and smells very much like the alcohol it is so heavily used with. Scent come out strong and fades quick. The bottle is pretty and the light lingering scent it does have doesn't smell that bad after a while. I would not purchase it again. overall the perfume is ok. You get what you pay for. It was 15 $,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,My current boyfriend said this perfume smell great I said does it turn you on He said yes So being the good girlfriend I am I bought it It doesn t turn heads or get compliments The scent doesn t last and smells very much like the alcohol it is so heavily used with Scent come out strong and fades quick The bottle is pretty and the light lingering scent it does have doesn t smell that bad after a while I would not purchase it again overall the perfume is ok You get what you pay for It was ,0.9773,Positive,0.25,0.08,0.17,0.08,0.42,Fear
50,1.0,2016-08-12,2016,i adore Jenna but i thought i would love this but the smell doesnt do me any justice on my skin  ...sad face,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,i adore Jenna but i thought i would love this but the smell doesnt do me any justice on my skin sad face,0.9287,Positive,0.4,0.0,0.0,0.2,0.4,Happy
51,3.0,2016-07-29,2016,"At first, this smells very fruity with some complexity to it with the patchouli. I'm not a fan of patchouli, but the initial scent from this when sprayed is actually quite beautiful!  However, that floral / fruitiness quickly goes away and the patchouli steps in to punch you square in the face like a prize fighter.  Seriously, you have to really, REALLY love patchouli to love this one. One of the positives of this is the bottle. It's really pretty to look at, as well as the dangling hearts. They are not cheap plastic as I thought it would be, but rather, they are made from metal. They're kind of heavy actually, but I think they really add to the charm of the bottle's look.

I'm glad I purchased it, because I had been really curious, but it's definitely not a favorite of mine.",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,At first this smells very fruity with some complexity to it with the patchouli I m not a fan of patchouli but the initial scent from this when sprayed is actually quite beautiful However that floral fruitiness quickly goes away and the patchouli steps in to punch you square in the face like a prize fighter Seriously you have to really REALLY love patchouli to love this one One of the positives of this is the bottle It s really pretty to look at as well as the dangling hearts They are not cheap plastic as I thought it would be but rather they are made from metal They re kind of heavy actually but I think they really add to the charm of the bottle s look I m glad I purchased it because I had been really curious but it s definitely not a favorite of mine ,0.9956,Positive,0.36,0.05,0.05,0.23,0.32,Happy
53,4.0,2016-06-07,2016,I love this!!! The bottle is so cute and the scent is a very nice fruity-floral one with a bit of musk.,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,I love this The bottle is so cute and the scent is a very nice fruity floral one with a bit of musk ,0.9191,Positive,1.0,0.0,0.0,0.0,0.0,Happy
54,5.0,2016-04-04,2016,now this is very good beautiful smell and i just love it,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,now this is very good beautiful smell and i just love it,0.9113,Positive,0.67,0.0,0.0,0.0,0.33,Happy
55,5.0,2016-02-07,2016,"I knew that I loved it, that's why I bought it. Wonderful scent, excellent quality.",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,I knew that I loved it that s why I bought it Wonderful scent excellent quality ,0.9062,Positive,0.67,0.0,0.33,0.0,0.0,Happy
56,1.0,2015-11-19,2015,"Maybe I got a bad bottle or something, but this perfume did not smell good. Very harsh smell, like you could almost smell chemicals mixed in with the flower and cheap soap scent. I was really surprised because I expected this to be awesome being from Jenna Jameson! Then, I read that this perfume hasn't been made in YEARS so this is very likely old stock where age has changed the scent dramatically.",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,Maybe I got a bad bottle or something but this perfume did not smell good Very harsh smell like you could almost smell chemicals mixed in with the flower and cheap soap scent I was really surprised because I expected this to be awesome being from Jenna Jameson Then I read that this perfume hasn t been made in YEARS so this is very likely old stock where age has changed the scent dramatically ,0.5759,Positive,0.1,0.1,0.2,0.2,0.4,Fear
58,5.0,2015-09-28,2015,"First American Brands Heartbreaker Fragrance By Jenna Jameson, Eau De Parfum Spray 50ml, 1.7-Fluid Ounce. Hi Everyone, I wanna tell you smells AWESOME, I am not one to buy a perfume over the internet that I am not familiar with, but I was willing to take a chance with this, I mean come on Jenna Jameson, I thought hmmm no way I could go wrong, right. Ok about the perfume, comes in a VERY SEXY red bottle, and the heart charm on there you see in the pics, that IS NOT PLASTIC, it is a heavy duty SILVER CHARM, very nice touch, if your girly your gonna love this, now if I had to compare it and LUCKILY I am familiar with it, is Avon's Imari the maroon bottle, to me it is very similar to that one. I put this on as soon as it came in the mail, yes I was excited, and it lasted all day, when I got in bed under the blanket and got cozy I could still smell it on my wrist, so that was nice to see is that it did not wear off even after several hours, oh and it is a FULL SIZE not a tiny sample. I was invited to purchase this at a promo price in return for a full honest review, I would definitely recommend this to all friends and family, and tell my guy friend to check it out for their Ladies :) If you like Imari you will like this, I love them both <3, And yes I am putting it on my repurchase list here on Amazon. I will insert a product link here: http://www.amazon.com/gp/product/B01167G0H2?redirect=true&ref_=cm_cr_ryp_prd_ttl_sol_0, Thank You very much for taking your time to read my review and I hope you can find this info helpful.",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,First American Brands Heartbreaker Fragrance By Jenna Jameson Eau De Parfum Spray ml Fluid Ounce Hi Everyone I wanna tell you smells AWESOME I am not one to buy a perfume over the internet that I am not familiar with but I was willing to take a chance with this I mean come on Jenna Jameson I thought hmmm no way I could go wrong right Ok about the perfume comes in a VERY SEXY red bottle and the heart charm on there you see in the pics that IS NOT PLASTIC it is a heavy duty SILVER CHARM very nice touch if your girly your gonna love this now if I had to compare it and LUCKILY I am familiar with it is Avon s Imari the maroon bottle to me it is very similar to that one I put this on as soon as it came in the mail yes I was excited and it lasted all day when I got in bed under the blanket and got cozy I could still smell it on my wrist so that was nice to see is that it did not wear off even after several hours oh and it is a FULL SIZE not a tiny sample I was invited to purchase this at a promo price in return for a full honest review I would definitely recommend this to all friends and family and tell my guy friend to check it out for their Ladies If you like Imari you will like this I love them both And yes I am putting it on my repurchase list here on Amazon I will insert a product link here http www amazon com gp product B G H redirect true ref cm cr ryp prd ttl sol Thank You very much for taking your time to read my review and I hope you can find this info helpful ,0.9985,Positive,0.33,0.03,0.09,0.27,0.27,Happy
59,4.0,2015-09-27,2015,This perfume smells really good! I was unsure when I was asked to try it out but was pleased that I did. It is a great perfume to wear in the evening for a night out.,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,This perfume smells really good I was unsure when I was asked to try it out but was pleased that I did It is a great perfume to wear in the evening for a night out ,0.9053,Positive,0.2,0.0,0.0,0.2,0.6,Fear
60,3.0,2015-09-13,2015,Smells goid just doesnt last,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,Smells goid just doesnt last,0.0,Neutral,0.0,0.0,0.0,0.0,1.0,Fear
61,5.0,2015-08-30,2015,"I was given this product in exchange for a review. All I can say is wow!!!! I love perfume, and this is a great scent! The notes are a little heavy but i really like it overall. I get headaches easily, but this doesnt seem to do that with me. Does not smell cheap!!! It is a wonderful fragrance for not a lot of money! I love it, you should give it a try!",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,I was given this product in exchange for a review All I can say is wow I love perfume and this is a great scent The notes are a little heavy but i really like it overall I get headaches easily but this doesnt seem to do that with me Does not smell cheap It is a wonderful fragrance for not a lot of money I love it you should give it a try ,0.9775,Positive,0.27,0.0,0.18,0.18,0.36,Fear
62,1.0,2015-08-29,2015,Strong heavy smell not my taste,Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,Strong heavy smell not my taste,0.5106,Positive,0.5,0.0,0.0,0.25,0.25,Happy
63,5.0,2015-08-26,2015,"I absolutely LOVE perfumes. I especially LOVE perfumes in cool looking bottles. So when I was offered the Jenna Jameson Heartbreaker Perfume at a reduced price in exchange for my honest review I knew I had to accept it. When I first received this product and smelled it my first thought was it smelled like something my grandmother would wear. It was very strong and not what I thought it would smell like. However, this is one of those perfumes, at least for me, that you have to actually put on and let your own body chemistry decide on the smell. After spraying the perfume on my wrist the scent completely changed and I actually really liked the scent. The bottle is very pretty also. It's a ruby red color with two silver colored hearts on it. After actually trying the perfume on I would definitely recommend it to friends and family.",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,I absolutely LOVE perfumes I especially LOVE perfumes in cool looking bottles So when I was offered the Jenna Jameson Heartbreaker Perfume at a reduced price in exchange for my honest review I knew I had to accept it When I first received this product and smelled it my first thought was it smelled like something my grandmother would wear It was very strong and not what I thought it would smell like However this is one of those perfumes at least for me that you have to actually put on and let your own body chemistry decide on the smell After spraying the perfume on my wrist the scent completely changed and I actually really liked the scent The bottle is very pretty also It s a ruby red color with two silver colored hearts on it After actually trying the perfume on I would definitely recommend it to friends and family ,0.9898,Positive,0.25,0.04,0.08,0.21,0.42,Fear
64,1.0,2015-08-25,2015,"I use a lot of perfume, I go through a new bottle every couple of weeks, and I never bought the same scent twice. I`m still looking for my favorite scent. This is not going to be it. I`m going to use it, but definitely not purchase again. Someone else may like it, it just does not lure my scents. Bottle is a very pretty, red glass, and it smells classier, than the name suggests.

I got this for evaluation, 50% off, in order that I might provide this review.

* I originally gave this 3 stars, but as I tried to use this further, I found the smell being just completely wrong. I asked three friends separately, what they think of it, and each one said, that this smells manly. And that was the exact word I was looking for. First two girls did not want to take this from me for free, the third one took it, but stated that really just a little at a time can be used. I downgraded this to 1 star, as it was in fact unusable and I wasted money on it. All four of us are in our early to late twenties and none of us liked this perfume. This is the only one 1 star review I ever wrote.",Jenna Jameson Heartbreaker Perfume for women 3.4 oz Eau De Parfum Spray,Jenna Jameson,I use a lot of perfume I go through a new bottle every couple of weeks and I never bought the same scent twice I m still looking for my favorite scent This is not going to be it I m going to use it but definitely not purchase again Someone else may like it it just does not lure my scents Bottle is a very pretty red glass and it smells classier than the name suggests I got this for evaluation off in order that I might provide this review I originally gave this stars but as I tried to use this further I found the smell being just completely wrong I asked three friends separately what they think of it and each one said that this smells manly And that was the exact word I was looking for First two girls did not want to take this from me for free the third one took it but stated that really just a little at a time can be used I downgraded this to star as it was in fact unusable and I wasted money on it All four of us are in our early to late twenties and none of us liked this perfume This is the only one star review I ever wrote ,0.8726,Positive,0.22,0.17,0.06,0.17,0.39,Fear
